appid,name,playtime_forever,playtime_windows_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,has_community_visible_stats,playtime_2weeks,has_leaderboards
1230800,Beach Buggy Racing 2,0,0,0,0,0,0,True,,
322500,SUPERHOT,0,0,0,0,0,0,True,,
1237950,STAR WARS™ Battlefront™ II,94,0,94,94,1727555312,0,True,,
1281930,tModLoader,9,9,0,0,1633211466,0,,,
1285670,Post Void,0,0,0,0,0,0,True,,True
1286830,STAR WARS™: The Old Republic™,1032,1032,0,0,1674524094,0,True,,
1332010,Stray,633,633,0,0,1660542564,0,True,,
638230,Journey,0,0,0,0,0,0,True,,
1383960,Nickelodeon Kart Racers 2: Grand Prix,0,0,0,0,0,0,True,,
1016120,PGA TOUR 2K21,0,0,0,0,0,0,True,,
1410640,Syberia - The World Before,0,0,0,0,0,0,True,,
1421230,Syberia The World Before - Prologue,42,42,0,0,1608330637,0,True,,
1426210,It Takes Two,2417,2289,127,127,1720920927,0,True,,
1433860,The Amazing American Circus,0,0,0,0,0,0,True,,
1440670,Zeepkist,0,0,0,0,0,0,True,,
1481400,Dagon,0,0,0,0,0,0,True,,
1506440,Batora: Lost Haven,0,0,0,0,0,0,True,,
1506510,The Ramp,9,0,9,9,1704671143,0,True,,
537800,Bomber Crew,0,0,0,0,0,0,True,,True
245170,Skullgirls 2nd Encore,0,0,0,0,0,0,True,,
616560,Ultimate Epic Battle Simulator,0,0,0,0,0,0,,,
582660,Black Desert,0,0,0,0,0,0,,,
43110,Metro 2033,0,0,0,0,0,0,True,,
351510,Quiplash,81,81,0,0,1624586595,0,True,,
1607680,Bread & Fred,0,0,0,0,0,0,True,,
1620040,Nickelodeon Kart Racers 3: Slime Speedway,0,0,0,0,0,0,True,,
94300,The Dream Machine,0,0,0,0,0,0,True,,
46500,Syberia,36,0,36,36,1730421408,0,,2.0,
46510,Syberia 2,0,0,0,0,0,0,,,
924970,Back 4 Blood,0,0,0,0,0,0,True,,
571310,SteamWorld Dig 2,1186,1186,0,0,1654029590,0,True,,
1817070,Marvel’s Spider-Man Remastered,1243,804,439,439,1728509688,3,True,,
204450,Call of Juarez Gunslinger,0,0,0,0,0,0,True,,
920210,LEGO® Star Wars™: The Skywalker Saga,2737,1071,1666,1666,1716400900,20,True,,
1902490,Aperture Desk Job,32,0,32,32,1695423482,0,,,
520720,Dear Esther: Landmark Edition,0,0,0,0,0,0,True,,
1929870,Nomad Survival,1976,0,1976,1976,1731296658,0,True,21.0,
1981820,Strike Force Heroes,400,0,400,400,1722655950,32,True,,
1985690,The Looker,0,0,0,0,0,0,True,,
